stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
070026,070026,ΓΕΦΥΡΑ ΙΕΡΑΣ ΟΔΟΥ,Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ,37.990965149,23.687830291,0
070027,070027,ΑΓ.ΓΕΩΡΓΙΟΣ-ΚΗΦΙΣΟΣ,Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ,37.989798932,23.686491426,0
070028,070028,ΕΒΙΟΠ,Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ,37.986899353,23.684078174,0
070029,070029,ΓΕΦΥΡΑΚΙ,Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ,37.984506408,23.682391715,0
070030,070030,ΑΜΣΤΕΛ,Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ,37.978690906,23.678260715,0
070031,070031,ΑΓ.ΑΝΝΗΣ,Επί της Π.ΡΑΛΛΗ,37.976615259,23.683917308,0
070032,070032,ΜΑΡΜΑΡΑΔΙΚΑ,Επί της Π.ΡΑΛΛΗ,37.976671221,23.681275478,0
070033,070033,ΚΑΝ ΚΑΝ,Επί της Π.ΡΑΛΛΗ,37.976374660,23.675003010,0
070034,070034,ΦΙΞ,Επί της Π.ΡΑΛΛΗ,37.976650078,23.670333471,0
070035,070035,Τ.Ε.Ι. ΠΕΙΡΑΙΑ,Επί της ΘΗΒΩΝ,37.980203010,23.671000781,0
070036,070036,ΘΕΟΧΑΡΑΚΗ,Επί της ΘΗΒΩΝ,37.983516336,23.673012913,0
070037,070037,ΓΕΦΥΡΑΚΙ,Επί της ΘΗΒΩΝ,37.985935823,23.674471176,0
070038,070038,ΜΑΚΡΗΣ,Επί της ΘΗΒΩΝ,37.987831642,23.675601589,0
070039,070039,ΑΙΓΑΛΕΩ,Επί της ΘΗΒΩΝ,37.990873943,23.677410330,0
070040,070040,ΘΕΟΔΩΡΟΣ ΠΟΛΥΚΑΝΔΡΙΩΤΗΣ,Επί της ΘΗΒΩΝ,37.993429186,23.679096064,0
070041,070041,ΓΥΜΝΑΣΙΟ,Επί της ΘΗΒΩΝ,37.996626869,23.681724438,0
070042,070042,ΑΓ.ΣΠΥΡΙΔΩΝΑΣ,Επί της ΘΗΒΩΝ,37.999436089,23.684035793,0
070043,070043,ΚΑΜΠΙΝΓΚ,Επί της ΛΕΩΦ.ΑΘΗΝΩΝ,38.007974116,23.671924693,0
070044,070044,ΠΗΓΑΔΑΚΙ,Επί της ΛΕΩΦ.ΑΘΗΝΩΝ,38.005308304,23.675889106,0
070045,070045,ΤΕΙ ΑΘΗΝΑΣ,Επί της ΛΕΩΦ.ΑΘΗΝΩΝ,38.003406294,23.679063980,0
070046,070046,ΘΕΑΤΡΟ,Επί της ΔΑΡΔΑΝΕΛΛΙΩΝ,37.993577947,23.677466821,0
070047,070047,ΜΠΟΤΣΑΡΗ,Επί της ΣΤΕΦ.ΣΑΡΑΦΗ,37.991191023,23.681315165,0
070048,070048,ΑΓ.ΣΠΥΡΙΔΩΝΑΣ,Επί της ΘΗΒΩΝ,37.999417115,23.683682795,0
070049,070049,NIKHTAΡΑ,Επί της ΘΗΒΩΝ,37.998188470,23.682606070,0
070050,070050,ΓΥΜΝΑΣΙΟ,Επί της ΘΗΒΩΝ,37.995785877,23.680691662,0
070051,070051,ΘΕΟΔΩΡΟΣ ΠΟΛΥΚΑΝΔΡΙΩΤΗΣ,Επί της ΘΗΒΩΝ,37.993193051,23.678436547,0
070052,070052,ΓΕΦΥΡΑ,Επί της ΘΗΒΩΝ,37.977303146,23.668599839,0
